"AT0000A2KPQ9","EB DBK TL08       ","        ","2020/11/09",10.73          ,12.36    ,9.55           ,7.89           ,10.73          ,0            ,.00                ,"1900/01/01","E","2","F",.00            ,.00            ,9.87           ,1      
"AT0000A1QPJ3","EB DBK TS03       ","        ","2020/11/09",23.27          ,-6.13    ,24.79          ,19.64          ,37.36          ,0            ,.00                ,"2020/05/06","E","2","F",.00            ,.00            ,24.29          ,1      
"AT0000A2KPR7","EB DBK TS07       ","        ","2020/11/09",2.49           ,-33.60   ,3.75           ,2.49           ,5.76           ,8300         ,23410.00           ,"2020/11/09","E","2","F",2.70           ,3.45           ,3.37           ,1      
"AT0000A2J4P3","EB EGB TL10       ","        ","2020/11/09",14.89          ,84.74    ,8.06           ,5.96           ,15.55          ,17300        ,213040.00          ,"2020/11/09","E","2","F",9.52           ,14.55          ,8.70           ,1      
"AT0000A19L56","EB EGB TL5        ","        ","2020/11/09",23.24          ,41.36    ,16.44          ,10.36          ,59.45          ,9964         ,212433.54          ,"2020/11/09","E","2","F",19.59          ,22.86          ,17.06          ,1      
"AT0000A20BZ8","EB EGB TS09       ","        ","2020/11/09",59.99          ,-10.77   ,67.23          ,21.63          ,79.52          ,0            ,.00                ,"2020/02/04","E","2","F",.00            ,.00            ,66.27          ,1      
"AT0000A27YU6","EB EGB TS10       ","        ","2020/11/09",44.80          ,-13.76   ,51.95          ,7.05           ,63.31          ,0            ,.00                ,"2020/06/12","E","2","F",.00            ,.00            ,51.07          ,1      
"AT0000A2J4Q1","EB EGB TS12       ","        ","2020/11/09",24.32          ,-22.47   ,31.37          ,24.32          ,34.70          ,0            ,.00                ,"1900/01/01","E","2","F",.00            ,.00            ,30.58          ,1      
"AT0000A2EHS5","EB EURCZK TS15    ","        ","2020/11/09",25.75          ,5.75     ,24.35          ,14.30          ,30.44          ,0            ,.00                ,"2020/10/20","E","2","F",.00            ,.00            ,25.42          ,1      
"AT0000A2EHT3","EB EURCZK TS16    ","        ","2020/11/09",17.78          ,8.41     ,16.40          ,6.52           ,22.47          ,0            ,.00                ,"2020/11/06","E","2","F",.00            ,.00            ,17.46          ,1      
